Word,POS,IOB,Tag
HIV,NNP,B-NP,B-PROBLEM
positive,JJ,O,I-PROBLEM
left,JJ,B-NP,B-PROBLEM
upper,JJ,I-NP,I-PROBLEM
quadrant,NN,I-NP,I-PROBLEM
pain,NN,I-NP,I-PROBLEM
nausea,NN,B-NP,B-PROBLEM
vomiting,NN,B-NP,B-PROBLEM
a,DT,B-NP,B-PROBLEM
long-standing,JJ,I-NP,I-PROBLEM
complaint,NN,I-NP,I-PROBLEM
HIV,NNP,B-NP,B-PROBLEM
positive,JJ,O,I-PROBLEM
heterosexual,JJ,B-NP,B-PROBLEM
transmission,NN,I-NP,I-PROBLEM
cat,VBN,O,B-PROBLEM
scratch,NN,B-NP,I-PROBLEM
fever,NN,I-NP,I-PROBLEM
an,DT,B-NP,B-PROBLEM
abscess,NN,I-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
left,NN,I-NP,I-PROBLEM
lower,JJR,B-NP,I-PROBLEM
extremity,NN,I-NP,I-PROBLEM
pancytopenia,NN,B-NP,B-PROBLEM
vomiting,VBG,O,B-PROBLEM
nausea,NN,B-NP,B-PROBLEM
vomiting,NN,B-NP,B-PROBLEM
left,VBN,O,B-PROBLEM
upper,JJ,B-NP,I-PROBLEM
quadrant,NN,I-NP,I-PROBLEM
pain,NN,I-NP,I-PROBLEM
similar,JJ,B-NP,B-PROBLEM
pain,NN,I-NP,I-PROBLEM
the,DT,B-NP,B-PROBLEM
pain,NN,I-NP,I-PROBLEM
a,DT,B-NP,B-PROBLEM
burning,NN,I-NP,I-PROBLEM
pain,NN,I-NP,I-PROBLEM
fatty,JJ,B-NP,B-PROBLEM
infiltration,NN,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
her,PRP$,O,I-PROBLEM
liver,NN,B-NP,I-PROBLEM
diffusely,RB,O,I-PROBLEM
a,DT,O,B-PROBLEM
1,CD,O,I-PROBLEM
cm,NN,B-NP,I-PROBLEM
cyst,NN,I-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
right,JJ,I-NP,I-PROBLEM
lobe,NN,I-NP,I-PROBLEM
of,IN,B-VP,I-PROBLEM
the,DT,B-NP,I-PROBLEM
liver,NN,I-NP,I-PROBLEM
hyperdense,JJ,B-NP,B-PROBLEM
kidneys,NN,I-NP,I-PROBLEM
slightly,RB,O,B-PROBLEM
elevated,VBN,O,I-PROBLEM
mildly,RB,O,B-PROBLEM
elevated,VBN,O,I-PROBLEM
progressive,JJ,B-NP,B-PROBLEM
failure,NN,I-NP,I-PROBLEM
to,TO,O,I-PROBLEM
thrive,VB,O,I-PROBLEM
steady,JJ,B-NP,B-PROBLEM
weight,NN,I-NP,I-PROBLEM
loss,NN,I-NP,I-PROBLEM
new,JJ,B-NP,B-PROBLEM
abscess,NN,I-NP,I-PROBLEM
in,IN,B-VP,I-PROBLEM
her,PRP$,O,I-PROBLEM
left,JJ,B-NP,I-PROBLEM
lower,JJR,I-NP,I-PROBLEM
calf,NN,I-NP,I-PROBLEM
HIV,NNP,B-NP,B-PROBLEM
